Rank,Year,Genre,Device,FIFA,Mario,Call of Duty,Grand Theft Auto,Pokemon,Halo,Wii,NBA,NA_Sales As a percentage of Total,EU_Sales As a percentage of Total,JP_Sales As a percentage of Total,Other_Sales As a percentage of Total
4561,2011.0,Action,Portable,0,0,0,0,0,0,0,0,55.81,32.56,0.0,9.3
8076,2014.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,38.89,16.67,27.78,16.67
6940,1998.0,Misc,Console,0,0,0,0,0,0,0,0,54.17,37.5,0.0,8.33
14217,2009.0,Action,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,33.33
10331,2014.0,Action,Console,0,0,0,0,0,0,0,0,54.55,27.27,0.0,9.09
8878,2008.0,Action,Console,0,0,0,0,0,0,0,0,93.33,0.0,0.0,6.67
8411,2016.0,Role-Playing,Console,0,0,0,0,0,0,0,0,35.29,23.53,29.41,11.76
15876,2008.0,Shooter,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
8331,1999.0,Platform,Console,0,0,0,0,0,0,0,0,52.94,35.29,0.0,5.88
5618,2014.0,Shooter,Console,0,0,0,0,0,0,0,0,50.0,43.75,0.0,9.38
5501,2016.0,Role-Playing,Console,0,0,0,0,0,0,0,0,30.3,54.55,0.0,15.15
10800,2010.0,Sports,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
15597,2007.0,Racing,Console,0,0,0,0,0,0,0,0,50.0,0.0,0.0,0.0
1875,2006.0,Adventure,Console,0,0,0,0,0,0,0,0,4.59,3.67,77.06,14.68
15527,2010.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13381,2011.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
11663,2010.0,Sports,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13114,1999.0,Sports,Console,0,0,0,0,0,0,0,0,80.0,20.0,0.0,0.0
521,2003.0,Action,Portable,0,0,0,0,0,0,0,0,56.38,37.23,1.42,4.96
14748,2001.0,Misc,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
7538,2012.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
12054,2007.0,Adventure,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
14374,2011.0,Platform,PC,0,0,0,0,0,0,0,0,0.0,66.67,0.0,33.33
4922,2009.0,Racing,Portable,0,0,0,0,0,0,0,0,56.41,33.33,0.0,10.26
1037,2008.0,Shooter,Console,0,0,1,0,0,0,0,0,35.47,10.47,0.0,54.65
9953,2011.0,Misc,Console,0,0,0,0,0,0,0,0,50.0,33.33,0.0,8.33
7413,1997.0,Fighting,Console,0,0,0,0,0,0,0,0,80.95,19.05,0.0,0.0
